UserId,Trait
0,ACTIVE
0,ENERGETIC
0,SMART
0,QUIET
1,LAZY
1,TALKATIVE
1,QUIET
2,TALKATIVE
2,SMART
3,ACTIVE
3,QUIET
4,QUIET
5,LAZY
5,QUIET
6,ACTIVE
6,TALKATIVE
6,ENERGETIC
6,SMART
7,LAZY
7,TALKATIVE
7,ENERGETIC
7,SMART
8,ACTIVE
8,ENERGETIC
8,QUIET
9,LAZY
10,ACTIVE
10,ENERGETIC
11,ACTIVE
11,ENERGETIC
11,SMART
12,SMART
12,QUIET
13,ACTIVE
13,ENERGETIC
14,QUIET
15,LAZY
15,TALKATIVE
16,ACTIVE
16,TALKATIVE
16,ENERGETIC
16,SMART
17,ACTIVE
18,LAZY
18,TALKATIVE
18,QUIET
19,ACTIVE
20,ACTIVE
20,SMART
21,ACTIVE
22,LAZY
22,SMART
22,QUIET
23,ACTIVE
23,ENERGETIC
23,SMART
24,LAZY
25,ACTIVE
26,ACTIVE
27,ACTIVE
27,ENERGETIC
27,SMART
28,ACTIVE
28,LAZY
28,QUIET
29,ACTIVE
29,TALKATIVE
29,ENERGETIC
30,ACTIVE
31,ACTIVE
31,SMART
32,SMART
33,LAZY
33,TALKATIVE
34,ACTIVE
34,ENERGETIC
35,ENERGETIC
36,QUIET
37,ACTIVE
37,ENERGETIC
37,SMART
38,ACTIVE
38,QUIET
39,ACTIVE
39,TALKATIVE
39,ENERGETIC
39,SMART
40,ACTIVE
40,TALKATIVE
40,ENERGETIC
40,SMART
41,ACTIVE
41,TALKATIVE
41,ENERGETIC
41,SMART
42,QUIET
43,ACTIVE
43,TALKATIVE
43,ENERGETIC
43,SMART
44,ACTIVE
44,ENERGETIC
44,SMART
45,ACTIVE
45,SMART
46,QUIET
47,ACTIVE
47,ENERGETIC
47,SMART
47,QUIET
47,PEACEFUL
47,SERIOUS
47,TACTFUL
47,ATTENTIVE
47,FRIENDLY
47,CREATIVE
48,LAZY
48,TALKATIVE
48,SMART
48,ANXIOUS
48,OPTIMIST
48,SERIOUS
48,ATTENTIVE
48,IMAGINATIVE
49,LAZY
49,SMART
49,QUIET
49,PEACEFUL
49,OPTIMIST
49,STUBBORN
49,ATTENTIVE
49,FRIENDLY
49,OBSERVANT
49,IMAGINATIVE
50,LAZY
50,TALKATIVE
50,IGNORANT
50,FRIENDLY
51,ACTIVE
51,ENERGETIC
51,SMART
51,PEACEFUL
51,OPTIMIST
51,ATTENTIVE
51,FRIENDLY
51,CREATIVE
52,ACTIVE
52,SMART
52,QUIET
52,PEACEFUL
52,STUBBORN
52,IMAGINATIVE
53,ENERGETIC
53,SMART
53,OPTIMIST
53,IGNORANT
53,TACTFUL
53,ATTENTIVE
54,LAZY
54,SMART
54,PEACEFUL
54,OBSERVANT
54,CREATIVE
55,ACTIVE
55,ENERGETIC
55,SMART
55,SHORT TEMPERED
55,STUBBORN
56,ACTIVE
56,TALKATIVE
56,SMART
56,ANXIOUS
56,STUBBORN
56,CREATIVE
57,ACTIVE
57,TALKATIVE
57,SMART
57,PEACEFUL
57,OPTIMIST
57,IMAGINATIVE
58,ACTIVE
58,ENERGETIC
58,ANXIOUS
58,TACTFUL
58,FRIENDLY
59,ACTIVE
59,SMART
59,STUBBORN
59,FRIENDLY
59,CREATIVE
60,LAZY
60,SMART
60,SHORT TEMPERED
60,IGNORANT
60,FRIENDLY
61,ACTIVE
61,ENERGETIC
61,SMART
61,ATTENTIVE
61,CREATIVE
62,ACTIVE
62,TALKATIVE
62,PEACEFUL
62,ATTENTIVE
62,IMAGINATIVE
63,ACTIVE
63,ENERGETIC
63,QUIET
63,PEACEFUL
63,OBSERVANT
63,CREATIVE
64,LAZY
64,SHORT TEMPERED
64,SERIOUS
64,STUBBORN
64,TACTFUL
65,ACTIVE
65,TALKATIVE
65,PEACEFUL
65,FRIENDLY
65,CREATIVE
65,IMAGINATIVE
66,LAZY
66,ENERGETIC
66,IGNORANT
66,STUBBORN
66,CREATIVE
67,ACTIVE
67,SMART
67,SERIOUS
67,ATTENTIVE
67,IMAGINATIVE
68,ENERGETIC
68,ANXIOUS
68,TACTFUL
68,FRIENDLY
69,ACTIVE
69,OPTIMIST
69,IMAGINATIVE
70,TALKATIVE
70,ENERGETIC
70,OBSERVANT
71,LAZY
71,SMART
71,ANXIOUS
71,ATTENTIVE
71,IMAGINATIVE
72,ACTIVE
72,ENERGETIC
72,PEACEFUL
72,STUBBORN
72,ATTENTIVE
73,ACTIVE
73,SMART
73,OPTIMIST
73,ATTENTIVE
73,IMAGINATIVE
74,ENERGETIC
74,SERIOUS
74,CREATIVE
74,IMAGINATIVE
75,LAZY
75,STUBBORN
75,ATTENTIVE
75,FRIENDLY
76,ACTIVE
76,QUIET
76,IGNORANT
77,ACTIVE
77,SMART
77,OPTIMIST
77,CREATIVE
78,PEACEFUL
78,ATTENTIVE
78,FRIENDLY
78,IMAGINATIVE
79,LAZY
79,STUBBORN
80,ACTIVE
80,SMART
80,SERIOUS
80,CREATIVE
81,OPTIMIST
81,FRIENDLY
82,ACTIVE
82,SMART
82,ANXIOUS
83,LAZY
84,OPTIMIST
84,CREATIVE
85,STUBBORN
86,ACTIVE
86,SMART
86,TACTFUL
86,CREATIVE
87,ENERGETIC
87,TACTFUL
88,LAZY
88,SERIOUS
88,IGNORANT
89,ENERGETIC
89,IGNORANT
90,ACTIVE
90,QUIET
90,FRIENDLY
90,OBSERVANT
90,CREATIVE
91,TALKATIVE
91,FRIENDLY
92,OBSERVANT
93,TALKATIVE
93,ANXIOUS
93,TACTFUL
94,ACTIVE
94,SMART
94,STUBBORN
95,TALKATIVE
95,FRIENDLY
95,CREATIVE
96,OPTIMIST
97,TALKATIVE
97,FRIENDLY
97,IMAGINATIVE
98,ACTIVE
98,PEACEFUL
98,CREATIVE
99,LAZY
99,SHORT TEMPERED
